source_region,country,service_name,provider_name,provider_color,care_type,residential_places,address,state,suburb,postcode,organisation_type,remoteness,acpr,lga,county,metro_area,source_dataset,source_status,cms_certification_number,legal_business_name,chain_name,overall_rating,average_residents_per_day,latitude,longitude,funding_2024_25
Australia,Australia,HammondCare Hammondville,HammondCare,#4fdebc,Residential,337,"8-10 Judd Avenue, HAMMONDVILLE, NSW, 2170",NSW,HAMMONDVILLE,2170,Charitable,Major Cities of Australia,South West Sydney,Liverpool,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.9716799999999,150.859780999999,16894300.31
Australia,Australia,Catholic Healthcare St Joseph Aged Care,Catholic Healthcare Limited,#31a4d8,Residential,52,"41 Gladesville Road, HUNTERS HILL, NSW, 2110",NSW,HUNTERS HILL,2110,Charitable,Major Cities of Australia,Northern Sydney,Hunters Hill,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.833975,151.142016,5543095.15
Australia,Australia,Catholic Healthcare St Bedes Home,Catholic Healthcare Limited,#31a4d8,Residential,44,"2 Russell Lane, SOUTH HURSTVILLE, NSW, 2221",NSW,SOUTH HURSTVILLE,2221,Charitable,Major Cities of Australia,South East Sydney,Georges River,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.9753339999999,151.111082,5004323.85
Australia,Australia,McLean Care Ltd,McLean Care Ltd,#31afd8,Residential,125,"67 Killean Street, INVERELL, NSW, 2360",NSW,INVERELL,2360,Charitable,Outer Regional Australia,New England,Inverell,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-29.760435,151.135432,14050216.34
Australia,Australia,Vincent Court,Apollo Care Operations Pty Ltd,#dea34f,Residential,88,"88 LEITH Street, WEST KEMPSEY, NSW, 2440",NSW,WEST KEMPSEY,2440,Private Incorporated Body,Inner Regional Australia,Mid North Coast,Kempsey,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-31.061063,152.825682999999,10311289.12
Australia,Australia,Blue Haven Bonaira,Fresh Fields Management (NSW) No 2 Pty Ltd,#d84031,Residential,134,"14 Bonaira Street, KIAMA, NSW, 2533",NSW,KIAMA,2533,Private Incorporated Body,Major Cities of Australia,Illawarra,Kiama,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.682516,150.850041,12917575.72
Australia,Australia,Catholic Healthcare Bethlehem House,Catholic Healthcare Limited,#31a4d8,Residential,29,"30 Montgomery Street, KOGARAH, NSW, 2217",NSW,KOGARAH,2217,Charitable,Major Cities of Australia,South East Sydney,Georges River,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.9639209999999,151.1346,4621102.32
Australia,Australia,Whiddon Kyogle,The Frank Whiddon Masonic Homes of New South Wales,#7f4fde,Residential,70,"1 GEORGE Street, KYOGLE, NSW, 2474",NSW,KYOGLE,2474,Charitable,Inner Regional Australia,Far North Coast,Kyogle,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.625755,153.001548,7113536.98
Australia,Australia,St Basil's Lakemba,St Basil's Homes,#de4f8c,Residential,195,"300 Haldon Street, LAKEMBA, NSW, 2195",NSW,LAKEMBA,2195,Charitable,Major Cities of Australia,Inner West,Canterbury-Bankstown,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.926616,151.080839999999,18376275.2
Australia,Australia,Uniting Kamilaroi Lane Cove,The Uniting Church in Australia Property Trust (NSW),#d88d31,Residential,74,"155 Longueville Road, LANE COVE, NSW, 2066",NSW,LANE COVE,2066,Religious,Major Cities of Australia,Northern Sydney,Lane Cove,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.817011,151.169772999999,8134586.57
